iter	Passed	Remaining
153	140335	770932
154	141186	769695
155	142080	768692
156	142962	767628
157	143819	766432
158	144695	765338
159	145581	764305
160	146468	763273
161	147364	762293
162	148225	761131
163	149107	760086
164	149985	759017
165	150793	757603
166	151647	756419
167	152539	755435
168	153371	754152
169	154233	753022
170	155083	751837
171	155929	750635
172	156804	749579
173	157677	748516
174	158528	747349
175	159346	746031
176	160189	744837
177	161034	743652
178	161871	742437
179	162740	741372
180	163614	740334
181	164463	739183
182	165341	738164
183	166216	737134
184	167091	736107
185	167970	735098
186	168814	733938
187	169666	732816
188	170542	731798
189	171382	730628
190	172219	729453
191	173059	728293
192	173863	726985
193	174708	725848
194	175527	724615
195	176403	723615
196	177224	722391
197	178048	721186
198	178924	720193
199	179743	718974
200	180557	717738
201	181397	716609
202	182234	715471
203	183125	714548
204	183970	713445
205	184830	712406
206	185668	711280
207	186497	710126
208	187417	709317
209	188272	708263
210	189093	707082
211	189961	706084
212	191073	705984
213	192604	707416
214	193622	706947
215	194879	707341
216	195857	706712
217	196865	706187
218	197813	705443
219	198892	705164
220	200279	705963
221	201684	706804
222	203066	707546
223	204268	707644
224	205382	707427
225	206835	708365
226	207899	707957
227	208850	707160
228	209984	706979
229	211092	706702
230	212337	706872
231	213385	706380
232	214921	707487
233	216558	708904
234	217537	708153
235	218678	707926
236	219825	707708
237	220814	706978
238	221736	706032
239	222584	704849
240	223485	703839
241	224324	702636
242	225199	701546
243	226106	700561
244	227005	699547
245	227892	698498
246	228721	697276
247	229545	696042
248	230407	694922
249	231239	693719
250	232114	692642
251	232940	691425
252	233763	690201
253	234668	689223
254	235547	688169
255	236461	687216
256	237354	686203
257	238208	685079
258	239089	684035
259	239924	682863
260	240746	681653
261	241599	680536
262	242495	679539
263	243394	678555
264	243852	676344
265	243922	673078
266	244791	672030
267	245665	670996
268	246545	669979
269	247415	668937
270	248259	667826
271	249111	666739
272	249924	665549
273	250807	664548
274	251681	663523
275	251941	660889
276	252809	659860
277	253613	658664
278	254543	657797
279	255411	656773
280	256330	655876
281	257316	655153
282	258257	654313
283	259330	653804
284	260251	652911
285	261124	651897
286	262066	651058
287	262670	649378
288	263535	648352
289	264391	647302
290	265228	646208
291	266344	645793
292	267281	644941
293	268182	644001
294	269056	642999
295	269914	641957
296	270150	639446
297	271021	638446
298	271947	637576
299	272079	634853
300	272334	632430
301	273168	631363
302	274001	630294
303	275373	630460
304	276485	630023
305	277829	630110
306	278818	629384
307	279327	627579
308	280288	626793
309	280858	625136
310	281838	624395
311	282922	623881
312	283973	623290
313	285005	622656
314	285934	621794
315	286835	620872
316	287704	619880
317	288551	618843
318	289608	618255
319	290707	617753
320	290847	615220
321	291325	613411
322	292310	612674
323	293473	612307
324	294617	611896
325	294935	609774
326	295860	608911
327	296724	607923
328	297554	606865
329	298386	605815
330	299280	604889
331	300100	603817
332	300972	602849
333	301832	601856
334	302684	600851
335	303868	600501
336	304401	598866
337	305331	598015
338	306421	597476
339	307642	597188
340	308657	596496
341	308863	594245
342	309799	593406
343	311400	593833
344	312309	592934
345	313247	592091
346	314521	591881
347	315634	591361
348	316899	591121
349	318048	590661
350	319458	590679
351	320633	590256
352	321888	589976
353	323190	589776
354	324240	589113
355	325361	588575
356	325680	586589
357	327138	586656
358	328280	586150
359	329119	585101
360	329953	584044
361	330877	583147
362	331792	582235
363	332777	581445
364	333766	580662
365	335203	580652
366	336301	580051
367	337200	579105
368	338060	578092
369	338965	577156
370	339484	575568
371	340371	574605
372	341263	573651
373	342202	572777
374	343024	571707
375	343279	569697
376	344146	568709
377	345028	567746
378	345505	566119
379	346426	565222
380	346700	563274
381	347567	562295
382	347852	560378
383	348771	559486
384	349580	558420
385	350452	557455
386	351336	556509
387	352216	555557
388	353088	554594
389	353570	553020
390	354453	552076
391	355285	551054
392	356105	550015
393	356253	547943
394	357119	546980
395	357974	546001
396	358811	544995
397	359657	544005
398	360537	543064
399	360986	541479
400	361855	540527
401	362743	539602
402	363573	538594
403	364003	536995
404	364874	536049
405	365773	535146
406	366627	534177
407	366876	532330
408	367746	531389
409	367993	529551
410	368867	528619
411	369750	527701
412	370580	526709
413	371451	525774
414	371882	524219
415	372766	523307
416	373600	522324
417	374478	521403
418	375383	520519
419	376241	519571
420	377093	518615
421	377939	517651
422	378200	515890
423	378639	514377
424	379554	513514
425	380421	512586
426	381322	511704
427	382210	510804
428	383056	509848
429	383900	508891
430	384781	507982
431	385668	507082
432	386476	506079
433	387344	505154
434	388180	504189
435	389009	503213
436	389900	502319
437	390732	501350
438	391612	500443
439	392481	499521
440	393251	498475
441	393378	496617
442	394230	495680
443	395115	494783
444	396010	493900
445	396937	493057
446	397197	491388
447	398095	490509
448	398963	489596
449	399761	488597
450	400576	487619
451	401400	486653
452	402311	485793
453	403234	484947
454	404095	484026
455	404957	483107
456	405778	482139
457	406614	481189
458	407549	480357
459	408376	479398
460	409286	478536
461	410237	477721
462	411149	476862
463	412008	475941
464	412924	475084
465	413835	474223
466	414675	473280
467	415533	472358
468	416387	471432
469	417263	470531
470	418079	469563
471	418914	468616
472	419757	467678
473	420655	466803
474	421517	465887
475	422349	464939
476	423244	464060
477	424140	463182
478	425069	462340
479	425973	461471
480	426947	460676
481	427834	459789
482	428784	458968
483	429623	458028
484	430544	457176
485	431442	456299
486	432282	455360
487	433140	454442
488	433978	453502
489	434858	452607
490	435782	451757
491	436693	450895
492	437608	450035
493	438507	449159
494	439441	448319
495	440380	447483
496	441314	446642
497	442278	445830
498	443235	445012
499	444165	444165
500	445032	443255
501	445951	442397
502	446913	441582
503	447852	440743
504	448742	439856
505	449621	438958
506	450488	438048
507	451344	437128
508	452281	436287
509	453239	435465
510	454196	434642
511	455037	433707
512	456019	432907
513	456919	432029
514	457855	431184
515	458723	430275
516	459594	429370
517	460465	428463
518	461328	427550
519	462258	426700
520	463110	425777
521	464030	424916
522	464949	424055
523	465793	423125
524	466742	422291
525	467584	421359
526	468520	420513
527	469389	419605
528	470227	418671
529	471160	417821
530	472040	416924
531	472860	415975
532	473781	415114
533	474675	414230
534	475675	413437
535	476635	412609
536	477586	411774
537	478460	410871
538	479346	409978
539	480226	409081
540	481051	408138
541	481970	407274
542	482821	406352
543	483625	405392
544	484512	404501
545	485408	403617
546	486326	402753
547	487287	401923
548	488224	401073
549	489409	400425
550	490460	399667
551	491632	399006
552	493209	398670
553	494342	397972
554	495422	397230
555	496465	396458
556	497493	395672
557	498448	394828
558	499605	394142
559	501002	393645
560	502774	393437
561	504519	393201
562	506326	393010
563	508303	392943
564	510060	392701
565	512004	392596
566	513962	392496
567	516308	392685
568	518568	392799
569	520802	392886
570	522917	392875
571	525169	392958
572	527183	392857
573	528967	392578
574	531184	392614
575	533469	392692
576	534659	391960
577	536481	391686
578	538674	391678
579	540806	391618
580	543059	391638
581	544415	391006
582	545580	390235
583	546823	389518
584	547895	388677
585	548987	387851
586	550039	386995
587	551660	386537
588	553444	386189
589	554902	385609
590	555954	384746
591	557015	383888
592	558185	383105
593	559782	382612
594	560782	381709
595	561772	380799
596	562747	379878
597	563682	378930
598	564663	378013
599	565657	377104
600	566629	376181
601	567527	375208
602	568408	374225
603	569338	373274
604	570297	372342
605	571221	371388
606	572165	370446
607	573148	369529
608	574068	368572
609	575011	367630
610	575883	366642
611	576789	365676
612	577743	364741
613	578669	363788
614	579521	362789
615	580368	361788
616	581305	360842
617	582183	359861
618	583082	358892
619	583952	357906
620	584924	356983
621	585763	355978
622	586697	355032
623	587613	354074
624	588514	353108
625	589449	352163
626	590341	351191
627	591186	350193
628	592068	349217
629	592909	348216
630	593825	347260
631	594749	346309
632	595603	345318
633	596465	344332
634	597358	343363
635	598280	342411
636	599212	341466
637	600097	340494
638	601004	339534
639	601898	338568
640	602837	337626
641	603714	336650
642	604577	335667
643	605485	334709
644	606396	333753
645	607266	332774
646	608171	331815
647	609022	330827
648	609888	329847
649	610762	328872
650	611674	327917
651	612609	326975
652	613472	325995
653	614324	325009
654	615217	324046
655	616078	323065
656	616942	322087
657	617821	321117
658	618708	320151
659	619601	319188
660	620449	318203
661	621306	317223
662	622229	316276
663	623068	315287
664	623894	314292
665	624811	313344
666	625710	312386
667	626605	311426
668	627485	310460
669	628359	309490
670	629254	308531
671	630080	307539
672	630933	306560
673	631814	305595
674	632717	304641
675	633616	303686
676	634451	302699
677	635318	301729
678	636192	300762
679	637030	299778
680	637953	298835
681	638828	297870
682	639705	296905
683	640576	295938
684	641398	294949
685	642283	293989
686	643209	293048
687	644095	292090
688	644913	291100
689	645763	290125
690	646611	289150
691	647475	288182
692	648331	287211
693	649210	286251
694	650064	285279
695	650967	284330
696	651828	283363
697	652667	282386
698	653460	281389
699	654273	280403
700	655123	279431
701	656022	278482
702	656949	277544
703	657886	276611
704	658804	275670
705	659715	274725
706	660529	273741
707	661326	272750
708	662292	271829
709	663200	270884
710	664188	269972
711	665086	269023
712	665952	268062
713	666851	267114
714	667688	266141
715	668494	265156
716	669427	264223
717	670284	263259
718	671199	262318
719	672098	261371
720	672965	260412
721	673877	259470
722	674700	258495
723	675552	257530
724	676395	256563
725	677270	255608
726	678148	254655
727	678975	253683
728	679830	252721
729	680744	251782
730	681611	250825
731	682485	249871
732	683313	248901
733	684155	247936
734	684987	246968
735	685857	246014
736	686796	245084
737	687691	244139
738	688513	243169
739	689350	242204
740	690199	241243
741	691078	240293
742	691940	239338
743	692832	238393
744	693793	237472
745	694678	236525
746	695625	235600
747	696460	234636
748	697319	233681
749	698161	232720
750	699114	231796
751	700007	230853
752	700891	229907
753	701730	228946
754	702597	227995
755	703437	227035
756	704310	226086
757	705167	225132
758	706007	224173
759	706832	223210
760	707732	222270
761	708611	221324
762	709471	220373
763	710305	219413
764	711126	218450
765	712055	217520
766	712899	216565
767	713747	215611
768	714632	214668
769	715461	213709
770	716326	212761
771	717222	211822
772	718041	210860
773	718891	209908
774	719791	208971
775	720659	208025
776	721529	207080
777	722435	206144
778	723285	205194
779	724174	204254
780	725103	203326
781	725917	202365
782	726794	201423
783	727720	200494
784	728536	199535
785	729400	198590
786	730298	197653
787	731188	196715
788	732054	195771
789	732923	194827
790	733786	193882
791	734675	192945
792	735552	192004
793	736397	191055
794	737186	190092
795	738001	189136
796	738845	188187
797	739683	187238
798	740513	186286
799	741392	185348
800	742238	184401
801	743081	183454
802	743914	182504
803	744759	181558
804	745562	180602
805	746387	179651
806	747251	178710
807	748064	177757
808	748886	176807
809	749743	175865
810	750597	174923
811	751495	173991
812	752388	173058
813	753212	172110
814	754086	171172
815	754962	170236
816	755861	169305
817	756699	168361
818	757579	167425
819	758466	166492
820	759296	165547
821	760168	164610
822	761018	163669
823	761926	162741
824	762740	161793
825	763580	160851
826	764407	159906
827	765258	158966
828	766122	158030
829	766944	157085
830	767848	156156
831	768706	155219
832	769581	154285
833	770439	153348
834	771312	152414
835	772160	151476
836	773046	150545
837	773885	149605
838	774813	148682
839	775786	147768
840	776664	146836
841	777656	145925
842	778511	144989
843	779354	144051
844	780247	143122
845	781118	142189
846	781989	141256
847	782914	140333
848	783792	139402
849	784624	138463
850	785484	137528
851	786344	136595
852	787249	135669
853	788140	134740
854	788998	133806
855	789882	132877
856	790699	131937
857	791540	131000
858	792383	130065
859	793238	129131
860	794097	128199
861	794976	127270
862	795828	126336
863	796720	125409
864	797565	124475
865	798418	123542
866	799289	122613
867	800147	121681
868	800994	120748
869	801868	119819
870	802754	118892
871	803620	117962
872	804454	117028
873	805264	116090
874	806123	115160
875	807018	114235
876	807853	113302
877	808690	112369
878	809548	111439
879	810401	110509
880	811222	109574
881	812077	108645
882	812932	107715
883	813867	106797
884	814754	105871
885	815615	104943
886	816539	104023
887	817387	103093
888	818299	102172
889	819123	101239
890	819962	100309
891	820867	99387
892	821743	98461
893	822584	97532
894	823481	96609
895	824341	95682
896	825208	94756
897	826107	93834
898	826927	92902
899	827790	91976
900	828659	91051
901	829538	90127
902	830387	89199
903	831246	88273
904	832101	87347
905	832982	86424
906	833840	85498
907	834717	84574
908	835623	83654
909	836492	82729
910	837381	81807
911	838310	80889
912	839183	79965
913	840114	79048
914	840969	78122
915	841839	77199
916	842717	76276
917	843587	75353
918	844437	74428
919	845269	73501
920	846156	72580
921	847038	71658
922	847899	70734
923	848736	69809
924	849579	68884
925	850391	67957
926	851223	67032
927	852098	66111
928	853013	65192
929	853903	64272
930	854979	63365
931	855974	62453
932	856909	61535
933	857947	60625
934	858770	59700
935	859659	58780
936	860554	57860
937	861426	56938
938	862278	56015
939	863133	55093
940	863586	54146
941	864389	53221
942	865238	52299
943	866104	51379
944	866970	50458
945	867825	49537
946	868731	48619
947	869560	47697
948	870413	46776
949	871280	45856
950	872148	44937
951	872964	44015
952	873791	43093
953	874659	42174
954	875528	41255
955	876318	40332
956	877200	39414
957	878063	38495
958	878888	37575
959	879702	36654
960	880512	35733
961	881358	34814
962	882218	33896
963	883091	32978
964	883927	32059
965	884792	31141
966	885611	30222
967	886399	29302
968	887207	28383
969	888066	27465
970	888902	26548
971	889770	25631
972	890624	24714
973	891480	23797
974	892318	22879
975	893208	21964
976	894035	21046
977	894851	20129
978	895684	19212
979	896490	18295
980	897309	17379
981	898128	16462
982	898936	15546
983	899821	14631
984	900645	13715
985	901492	12800
986	902320	11884
987	903185	10969
988	904025	10054
989	904896	9140
990	905774	8226
991	906644	7311
992	907536	6397
993	908325	5482
994	909197	4568
995	910051	3654
996	910856	2740
997	911714	1827
998	912557	913
999	913404	0
